ул Алма-Атинская д.4	ул	Алма-Атинская 	д.4	1985	6	21
ул Автозаводская д.2	ул	Автозаводская 	д.2	1960	196	31
ул Автозаводская д.3	ул	Автозаводская 	д.3	1957	197	31
ул Автозаводская д.4	ул	Автозаводская 	д.4	1958	198	31
ул Автозаводская д.5	ул	Автозаводская 	д.5	1956	199	31
ул Автозаводская д.6	ул	Автозаводская 	д.6	1955	200	31
ул Автозаводская д.7	ул	Автозаводская 	д.7	1957	201	31
ул Автозаводская д.8	ул	Автозаводская 	д.8	1957	202	31
ул Автозаводская д.9	ул	Автозаводская 	д.9	1955	203	31
ул Велозаводская д.2	ул	Велозаводская 	д.2	1962	204	31
ул Велозаводская д.2 кор.1	ул	Велозаводская 	д.2 кор.1	1962	205	31
ул Велозаводская д.2 кор.2	ул	Велозаводская 	д.2 кор.2	1961	206	31
ул Велозаводская д.2 кор.3	ул	Велозаводская 	д.2 кор.3	2010	207	31
ул Велозаводская д.6	ул	Велозаводская 	д.6	1940	208	31
ул Велозаводская д.6А	ул	Велозаводская 	д.6А	1956	209	31
ул Восточная д.1 кор.1	ул	Восточная 	д.1 кор.1	1931	210	31
ул Восточная д.11 кор.1	ул	Восточная 	д.11 кор.1	1973	211	31
ул Восточная д.13	ул	Восточная 	д.13	1980	212	31
ул Восточная д.15/6	ул	Восточная 	д.15/6	1970	213	31
ул Восточная д.2 кор.1	ул	Восточная 	д.2 кор.1	1960	214	31
ул Восточная д.2 кор.2	ул	Восточная 	д.2 кор.2	1960	215	31
ул Восточная д.2 кор.3	ул	Восточная 	д.2 кор.3	1960	216	31
ул Восточная д.2 кор.4	ул	Восточная 	д.2 кор.4	1960	217	31
ул Восточная д.2 кор.5	ул	Восточная 	д.2 кор.5	1959	218	31
ул Восточная д.5	ул	Восточная 	д.5	1928	219	31
ул Восточная д.7	ул	Восточная 	д.7	1928	220	31
ул Восточная д.9	ул	Восточная 	д.9	2010	221	31
ул Городская д.1	ул	Городская 	д.1	1927	222	31
ул Городская д.2	ул	Городская 	д.2	1900	223	31
ул Городская д.3	ул	Городская 	д.3	1928	224	31
ул Городская д.4	ул	Городская 	д.4	1960	225	31
ул Дербеневская д.1	ул	Дербеневская 	д.1	1959	230	31
ул Дербеневская д.10	ул	Дербеневская 	д.10	1896	231	31
ул Дербеневская д.14 кор.2	ул	Дербеневская 	д.14 кор.2	1900	232	31
ул Дербеневская д.14 кор.3	ул	Дербеневская 	д.14 кор.3	1907	233	31
ул Дербеневская д.14 кор.5	ул	Дербеневская 	д.14 кор.5	1903	234	31
