Строительный объект	"Во время проведения измерений строительные работы не проводились.  		Измерены фоновые уровни шума."	Парковая 13-я ул., 37, корп. 4	21.06.2018	3	 	25	90
Дорожные работы	"Во время проведения измерений дорожные работы не проводились. Измерены  		фоновые уровни шума."	Пугачёвская 2-я ул., д. 10, корп. 1	23.07.2018	2	 	26	24
Строительный объект	Запланирован выезд с целью проведения измерений уровней шума.	Алабяна ул., д. 77/2		1	 	74	37
Строительный объект	В период проведения измерений работы не проводились.	Богданова ул., вл. 52	29.04.2018	1	 	110	7
Строительный объект	В период проведения измерений работы не проводились.	Кооперативная ул., вл. 14/19, вл. 16	08.08.2018	2	 	116	26
Строительный объект	"В периоды проведения измерений основным источником шума являлось  		движение автотранспорта по Хорошевскому шоссе."	Хорошевское шоссе, д. 33	24.04.2018; 30.04.2018; 16.05.2018	7	 	53	38
Строительный объект	Запланирован выезд с целью проведения измерений уровней шума.	Преображенский вал ул., д. 24, корп. 5		1	 	10	24
Строительный объект	Запланирован выезд с целью проведения измерений уровней шума.	Черкизовская Большая ул. Д. 16/2		1	 	11	24
Строительный объект	В период проведения измерений строительные работы не проводились.	Текстильщиков 7-я ул., д. 14	11.06.2018; 10.07.2018	5	 	14	3
Строительный объект	В период проведения измерений работы не проводились.	Славянский б-р, д. 3, соор. 1	23.05.2018	1	 	16	46
Дорожные работы	В период проведения измерений работы не проводились.	Кастанаевская ул., д. 50	05.06.2018	1	 	17	46
Строительный объект	В период проведения измерений работы не проводились.	Генерала Карбышева б-р., д. 19К5	09.04.2018	1	 	18	50
Дорожные работы	В период проведения измерений работы не проводились.	Люсиновская ул., д. 55 (Серпуховская Б. ул., д. 70)	23.07.2018	1	 	19	32
Строительный объект	"Во время проведения измерений строительные работы не проводились.  		Измерены фоновые уровни шума."	Щелковское шоссе, д. 47, корп. 2	15.04.2018	1	 	20	72
Дорожные работы	"Во время проведения измерений дорожные работы не проводились. Измерены  		фоновые уровни шума."	Новогиреевская ул., д. 24	30.05.2018	2	 	21	22
Строительный объект	"Обращение направлено&nbsp; в Объединение административно-технических  		инспекций г. Москвы с просьбой проверить наличие законных оснований по  		проведению строительных работ, сопровождаемых повышенным уровнем шума,  		в&nbsp; выходные дни."	Открытое шоссе д. 25, корп. 3	13.08.2018	1	 	22	18
Генераторная установка на строительной площадке	"По результатам проведённых измерений уровней шума, у фасада дома 18,  		корп. 1 по Федеративному проспекту выявлены превышения допустимых  		уровней шума на 25 дБА по эквивалентному уровню звука, а также в  		октавных полосах со среднегеометрическими частотами 63, 125, 250, 500,  		1000, 2000, 4000, 8000 Гц. Полученные превышения уровней шума  		обусловлены работой генераторной установки на территории строительной  		площадки."	Федеративный проспект, вл. 20	18.06.2018	4	"Административно-технической инспекцией по ВАО применены меры  		административного воздействия. А также по результатам проведённых  		совещаний, в связи с негативным отношением жителей к проведению  		строительных работ вблизи жилого дома 18 по Федеративному проспекту было  		принято решение о прекращении строительства на данной территории."	23	19
Дорожные работы	В период проведения измерений работы не проводились.	Усачева ул., д. 21	09.08.2018	1	 	163	26
Другие источники	В период проведения измерений работы не проводились.	Люсиновская ул., д. 12	12.08.2018	1	 	164	32
Строительный объект	"По результатам проведённых измерений выявлены превышения допустимых  		уровней шума на 13 дБА по эквивалентному и на 5 дБА по максимальному  		уровням звука. Учитывая изложенное Управлением государственного  		экологического контроля будет проведено административное расследование.  		Дополнительно информация направлено в Объединение административно  		технических инспекций для принятия мер в рамках компетенции и пресечении  		данного правонарушения."	Миллионная ул., д. 14	05.07.2018; 27.08.2018	9	 	27	51
Строительный объект	"Во время проведения измерений строительные работы не проводились.  		Измерены фоновые уровни шума."	Щелковское шоссе, д. 85	02.08.2018; 27.08.2018	4	 	28	72
Дорожные работы	"Во время проведения измерений дорожные работы не проводились. Измерены  		фоновые уровни шума."	Перовская ул., д. 29	21.08.2018	1	 	29	19
Дорожные работы	"В период проведения измерений основным источником шума являлся проезд  		автотранспорта."	Открытое шоссе, д. 5, корп. 5	13.08.2018	1	 	30	51
Строительный объект	"Во время проведения измерений строительные работы не проводились.  		Измерены фоновые уровни шума. Территория находится на контроле ГПБУ  		'"Мосэкомониторинг'" для проведения повторных измерений уровней шума в  		ночное время."	Кусковская ул., 1А	02.08.2018; 27.08.2018	3	 	31	19
Строительный объект	"В периоды проведения измерений основным источником шума являлось  		движение автотранспорта по улице Бутырская и Третьему транспортному  		кольцу. Строительные работы не проводились."	Бутырская ул., д. 4, 5, 6	13.08.2018; 20.08.2018	3	 	34	42
Строительный объект	"Ранее на данной территории были выявлены превышения допустимых уровней  		шума в ночное время, обусловленных проведением строительных работ. В  		соответствии с вновь поступившими обращениями территория находится на  		контроле ГПБУ '"Мосэкомониторинг'" для проведения повторных измерений  		уровней шума."	Верхняя Первомайская ул., д. 65	15.05.2018; 21.06.2018	1	"По результатам ранее проведённых измерений Объединением  		административно-технических инспекций г. Москвы применялись меры  		административного воздействия. Управлением государственного  		экологического контроля проводится административное расследование по  		факту выявленных ранее превышений."	36	90
Дорожные работы	Запланирован выезд с целью проведения измерений уровней шума.	Маленковская ул., д. 7		1	 	37	12
Дорожные работы	Запланирован выезд с целью проведения измерений уровней шума.	Знаменская ул. д. 19		1	 	38	24
Строительный объект	"Во время проведения измерений строительные работы не проводились.  		Измерены фоновые уровни шума."	Молдагуловой ул., д. 3, корп. 1, 2	23.07.2018	1	 	32	93
Строительный объект	"Зафиксированы превышения нормативов допустимого уровня шума на 27 дБА.  		Строительная площадка расположенная на улице Балтийская. В период  		проведения измерений уровней шума работы велись на пересечении улиц  		Авиаконструктора Яковлева и Балтийской. Учитывая изложенное, Управлением  		государственного экологического контроля будет проведено  		административное расследование. Дополнительно информация направлена в  		Объединение административно- технических инспекций для принятия мер в  		рамках компетенции и пресечении данного правонарушения."	Балтийская ул., д. 4	23.04.2018	5	 	46	27
Строительный объект	"По результатам проведённых измерений уровней шума на территории,  		прилегающей к жилому дому 2 по улице Ляпидевского, зафиксированы  		превышения нормативов допустимого уровня звука в ночное время на 12 дБА  		по эквивалентному уровню звука, а также в октавных полосах со  		среднегеометрическими частотами 125, 250, 500, 1000, 2000, 4000, 8000  		Гц, обусловленные строительными работами."	Ляпидевского ул., вл 1	30.05.2018	11	"По информации, полученной в рабочем порядке от отдела экологического  		контроля по Северному административному округу, в адрес генеральной  		подрядной организации, задействованной в строительстве  		многофункционального спортивно-оздоровительного,  		административно-социального комплекса по адресу: ул. Ляпидевского, вл.  		1, вынесено постановление о возбуждении дела об административном  		правонарушении по ст. 4. 46 КоАП г. Москвы."	47	44
Строительный объект	"Во время проведения измерений строительные работы не проводились.  		Измерены фоновые уровни шума."	Селигерская ул., д. 32	04.06.2018	2	 	48	40
Строительный объект	"По результатам проведённых измерений уровней шума, у фасада дома 8 по  		Головинскому шоссе выявлены превышения уровней шума на 26 дБА по  		эквивалентному уровню звука, а также в октавных полосах со  		среднегеометрическими частотами 63, 125, 250, 500, 1000, 2000, 4000,  		8000 Гц."	Головинское шоссе, д. 8	07.06.2018	5	"В соответствии с ответом АТИ по САО к генеральной подрядной организации   		применены меры административного воздействия и выдано предписание на  		исключение работы механизмов с повышенным шумом в ночное время. Контроль  		за объектом будет продолжен."	49	74
Строительный объект	"По результатам проведённых измерений уровней шума, у фасада дома 11,  		корп. 2 по улице Нарвская выявлены превышения уровней шума на 14 дБА по  		эквивалентному уровню звука, на &nbsp;5 дБА по максимальному уровню звука, а  		также в октавных полосах со среднегеометрическими частотами 500, 1000  		Гц."	Нарвская ул., вл. 1А	04.06.2018	5	 	50	52
Строительный объект	"Во время проведения измерений строительные работы не проводились.  		Измерены фоновые уровни шума."	Р-он Левобережный, мкр. 2, участок 2Б, корп. 5	07.05.2018	3	 	51	75
Дорожные работы	"Во время проведения измерений дорожные работы не проводились. Измерены  		фоновые уровни шума."	Смольная ул., д 43	21.06.2018	1	 	55	75
Дорожные работы	"Во время проведения измерений дорожные работы не проводились. Измерены  		фоновые уровни шума."	Дмитровское шоссе, д. 155, корп. 3	12.07.2018	1	 	56	36
Строительный объект	В период проведения измерений строительные работы не проводились.	Огородный проезд, д. 17	27.08.2018	1	 	57	42
Строительный объект	В период проведения измерений строительные работы не проводились.	Бажова ул., д. 3	13.08.2018	3	 	59	14
Строительный объект	"По результатам выезда установлено, что строительная площадка расположена  		на пересечении Библиотечного проезда и Московской кольцевой  		автомобильной дороги. Информационного щита не обнаружено. В период  		проведения измерений на указанной строительной площадке отмечалась  		работы колёсных погрузчиков и строительного кран. Измерения уровней шума  		проводились на ближайшей к строительной площадке жилой территории,  		прилегающей к жилым домам 16/2, корп. 1 и 16/2, корп. 2 по улице Маршала  		Федоренко. В период проведения измерений основным источником шума  		являлось движение автотранспорта по улице Маршала Федоренко,  		Библиотечному проезду и&nbsp; Московской кольцевой автомобильной дороге."	Левобережная ул., д. 28	28.06.2018	1	 	60	44
Строительный объект	"По результатам выезда установлено, что строительная площадка расположена  		на пересечении Библиотечного проезда и Московской кольцевой  		автомобильной дороги. Информационного щита не обнаружено. В период  		проведения измерений на указанной строительной площадке отмечалась  		работы колёсных погрузчиков и строительного кран. Измерения уровней шума  		проводились на ближайшей к строительной площадке жилой территории,  		прилегающей к жилым домам 16/2, корп. 1 и 16/2, корп. 2 по улице Маршала  		Федоренко. В период проведения измерений основным источником шума  		являлось движение автотранспорта по улице Маршала Федоренко,  		Библиотечному проезду и&nbsp; Московской кольцевой автомобильной дороге."	Правобережная ул., д. 15	28.06.2018	1	 	61	44
Строительный объект	"В период проведения измерений строительные работы не проводились.  		Основным источником шума являлось движение автотранспорта по  		Зеленоградской улице. Территория находится на контроле ГПБУ  		'"Мосэкомониторинг'" для проведения повторных измерений уровней шума в  		ночное время."	Зеленоградская ул., 23А, 17	21.08.2018	4	 	62	44
Строительный объект	"Во время проведения измерений строительные работы не проводились.  		Измерены фоновые уровни шума."	Коптевская ул., д. 3	23.07.2018	1	 	63	10
Строительный объект	"Зафиксированы превышения нормативов допустимых уровней звукового  		давления в октавных полосах со среднегеометрическими частотами от 63 до  		2000 Гц на 4-9 дБ, превышение эквивалентного уровня звука составило 9  		дБА. Указанные превышения нормативов допустимого уровня шума обусловлены  		работой оборудования, расположенного на территории строительной  		площадки."	Локомотивный проезд., д. 3А	30.05.2018	4	"В соответствии с ответом АТИ по САО к генеральной подрядной организации   		применены меры административного воздействия и выдано предписание на  		исключение работы механизмов с повышенным шумом в ночное время. Контроль  		за объектом будет продолжен. Управлением государственного экологического  		контроля проводится административное расследование по факту выявленных  		превышений."	64	71
Строительный объект	"Во время проведения измерений строительные работы не проводились.  		Измерены фоновые уровни шума. Территория находится на контроле ГПБУ  		'"Мосэкомониторинг'""	Макарова адмирала ул., д. 6	01.08.2018	3	 	65	52
Строительный объект	"Во время проведения измерений, строительные работы не проводились.  		Измерены фоновые уровни шума. В соответствии с вновь поступившими  		обращениями территория находится на контроле ГПБУ '"Мосэкомониторинг'"."	Смольная ул., д. 33	01.08.2018	3	 	66	75
Строительный объект	В период проведения измерений строительные работы не проводились.	Псковская ул., д. 9, корп. 2	16.06.2018	2	 	67	92
Строительный объект	"Обращение направлено&nbsp; в Объединение административно-технических  		инспекций г. Москвы с просьбой проверить наличие законных оснований по  		проведению строительных работ, сопровождаемых повышенным уровнем шума,  		в&nbsp; выходные дни."	Немчинова ул., д. 4		1	 	68	71
Ремонтные работы	"Во время проведения измерений, строительные работы не проводились.  		Измерены фоновые уровни шума."	Радиаторская 3-я ул., д. 3	03.08.2018	1	 	69	52
Строительный объект	Запланирован выезд с целью проведения измерений уровней шума.	Песчанная 3-я ул., вл. 2		4	 	70	38
Строительный объект	"Зафиксированы превышения нормативов допустимых уровней звукового  		давления в октавных полосах со среднегеометрическими частотами от 63 до  		2000 Гц на 4-9 дБ, превышение эквивалентного уровня звука составило 9  		дБА."	Дыбенко ул., 26 Б	17.04.2018	2	"В соответствии с ответом АТИ по САО к генеральной подрядной организации   		применены меры административного воздействия и выдано предписание на  		исключение работы механизмов с повышенным шумом в ночное время. Контроль  		за объектом будет продолжен. Управлением государственного экологического  		контроля проводится административное расследование по факту выявленных  		превышений."	71	44
Строительный объект	"Во время проведения измерений, строительные работы не проводились.  		Измерены фоновые уровни шума. Территория находится на контроле ГПБУ  		'"Мосэкомониторинг'""	Алабяна ул., д. 10	06.08.2018	2	 	72	37
Дорожные работы	"Во время проведения измерений, строительные работы не проводились.  		Измерены фоновые уровни шума"	Планетная ул., д. 16	06.08.2018	1	 	73	27
Строительный объект	Запланирован выезд с целью проведения измерений уровней шума.	Хорошевское шоссе, д. 76 А		2	 	75	38
Строительный объект	"По результатам проведённых измерений уровней шума выявлены превышения  		допустимых уровней шума на 6 дБА по эквивалентному уровню звука.  		Учитывая изложенное, Управлением государственного экологического  		контроля будет проведено административное расследования. Дополнительной  		информация направлена в Объединение административно-технических  		инспекций для принятия мер в рамках компетенции и для пресечения данного  		правонарушения."	Хорошевское шоссе, вл. 32	13.08.2018	2	 	76	38
Дорожные работы	В период проведения измерений строительные работы не проводились.	Скаковая ул., д 17	12.08.2018	1	 	77	76
Строительный объект	В период проведения измерений строительные работы не проводились.	Графский пер., д. 10/12, корп. 3	21.06.2018	1	 	81	29
Строительный объект	В период проведения измерений строительные работы не проводились.	Пришвина ул., д. 3	21.06.2018	1	 	82	65
Строительный объект	В период проведения измерений строительные работы не проводились.	Фонвизина ул., д. 9	05.07.2018	2	 	84	42
Строительный объект	"Зафиксирован повышенный уровень шума, обусловленный производством  		строительных работ в ночное время"	Кунцево р-н, кв. 18, корп. 4 (Ярцевская ул., 20)	30.04.2018	3	"ОАТИ г. Москвы применены штрафные санкции в отношении виновных лиц.  		Управлением государственного экологического контроля Департамента  		природопользования и охраны окружающей среды г. Москвы ведется  		административное расследование"	112	13
Строительный объект	Зафиксированы превышения допустимых нормативов уровней шума.	Осташковская ул., д. 7	23.07.2018	9	"В соответствии с ответом АТИ по СВАО к генеральной подрядной  		организации  применены меры административного воздействия и выдано  		предписание на исключение работы механизмов с повышенным шумом в ночное  		время. Контроль за объектом будет продолжен. Управлением  		государственного экологического контроля проводится административное  		расследование по факту выявленных превышений."	85	58
Строительный объект	В период проведения измерений строительные работы не проводились.	Ярославское шоссе, д.117	13.08.2018	1	 	87	79
Строительный объект	"Зафиксированы превышения допустимых нормативов уровней шума,  		обусловленные проведением строительных работ. С учётом изложенного  		информация по факту превышений допустимых уровней шума Управлением  		государственного экологического контроля Департамента природопользования  		будет проведено административное. Дополнительно информация направлена в  		Объединение административно-технических инспекций для принятия мер в  		рамках компетенции и пресечения данного нарушения."	Кожуховская 7-я ул.	07.05.2018; 20.08.2018	7	 	88	16
Строительный объект	"Во время проведения измерений работы на строительной площадке работы не  		проводились. Поскольку шум от указанной строительной площадки носит  		периодический характер принято решение об установке мобильной шумовой  		станции. По данным мобильной шумовой станции зафиксированы 924 случая  		превышений нормативов допустимого эквивалентного уровня звука в ночное  		время. В настоящее время проводится обработка полученных данных на  		предмет соответствия метеорологическим условиям (скорость ветра,  		выпадение осадков) и в части исключения превышений уровней шума,  		связанных с воздействием движения автотранспорта Рязанского проспекта."	Выхино, мкр. 128БВ, корп. 11	06.04.2018; 29.04.2018; 07.05.2018; 16.05.2018; 24.05.2018; 16.07.2018	14	"Административно-технической инспекцией по ЮВАО, зафиксирован факт  		неправомерных  работ, сопровождаемых повышенным уровнем шума, в выходные  		дни. В установленном порядком оформлен ордер и применены меры  		административного воздействия."	89	17
Строительный объект	"Выявлены превышения допустимых уровней шума, обусловленные проведением  		строительных работ в ночное время. С учётом изложенного информация  		направлена в ОАТИ и в Департамент строительства г. Москвы."	Авиаконструктора Миля ул., д. 3	16.05.2018	3	"В соответствии с ответом АТИ по САО к генеральной подрядной организации   		применены меры административного воздействия и выдано предписание на  		исключение работы механизмов с повышенным шумом в ночное время. Контроль  		за объектом будет продолжен."	90	62
Строительный объект	В период проведения измерений строительные работы не проводились.	Шарикоподшипниковская ул., д. 3	05.07.2018	1	 	91	16
Строительный объект	"В период проведения измерений на строительной площадке (на пересечении  		улиц Тарханской, Авиаконструктора Миля и Генерала Кузнецова, а также по  		улице Авиаконструктора Миля до Жулебинского бульвара) наблюдалась работа  		строительного крана, угловой шлифовальной машины, компрессора, сварочные  		работы, ударные работы (стуки) и крики рабочих. С учётом изложенного  		информация направлена в ОАТИ и в Департамент строительства г. Москвы."	Генерала Кузнецова ул., д. 20	16.07.2018	1	 	92	17
Дорожные работы	В период проведения измерений строительные работы не проводились.	пересечение ул. Ю. Ленинцев и Люблинской.	01.08.2018	1	 	93	3
Строительный объект	"Территория на контроле ГПБУ '"Мосэкомониторинг'"."	станция Лосиноостровская	28.06.2018	1	 	86	79
Строительный объект	"По результатам проведённых измерений выявлены превышения допустимых  		уровней шума на 17 дБА по эквивалентному и на 8 дБА по максимальному  		уровням звука. Учитывая изложенное, Управлением государственного  		экологического контроля будет проведено административное расследование.  		Дополнительно информация направлена."	2-я ул. Синичкина, д. 26	27.08.2018	2	 	94	97
Строительный объект	В период проведения измерений работы не проводились.	Довженко ул., вл. 1	07.05.2018	1	 	113	43
Строительный объект	"По результатам проведённых измерений уровней шума, у фасада дома 1 по  		улице Мельникова выявлены превышения допустимых уровней шума на 17 дБА  		по эквивалентному и до 16 дБА по максимальному уровням звука.&nbsp; Учитывая  		изложенное, Управлением государственного экологического контроля будет  		проведено административное расследование. Дополнительно информация  		направлена в Объединение административно-технических инспекций."	1-я ул., Мельникова,&nbsp; д. 1	13.08.2018	2	 	95	16
