Общие колиформные бактерии (ОКБ)	отс.	90	53
Остаточный хлор	0.35	101	86
Запах при 60C	1-2	102	86
Неизвестно (5147)	1	103	86
Неизвестно (5148)	Тинистый	104	86
Общие колиформные бактерии (ОКБ)	отс.	105	86
Неизвестно (1000)	Тинистый	106	26
Неизвестно (1001)	Тинистый	107	26
Запах при 20C	1	108	26
Неизвестно (1003)	20.4	109	26
Мутность	<0.30	111	26
Водородный показатель (pH)	7.4	112	26
Железо общее	<0.05	113	26
Термотолерантные колиформные бактерии (ТКБ)	отс.	114	26
Общее микробное число (ОМЧ)	отс.	115	26
Остаточный хлор	0.12	116	26
Запах при 60C	1-2	117	26
Неизвестно (5147)	1	118	26
Неизвестно (5148)	Тинистый	119	26
Общие колиформные бактерии (ОКБ)	отс.	120	26
Неизвестно (1000)	Тинистый	121	2
Неизвестно (1001)	Тинистый	122	2
Запах при 20C	1	123	2
Неизвестно (1003)	21.4	124	2
Цветность	<5	125	2
Мутность	0.63	126	2
Водородный показатель (pH)	7.2	127	2
Железо общее	<0.05	128	2
Термотолерантные колиформные бактерии (ТКБ)	отс.	129	2
Общее микробное число (ОМЧ)	отс.	130	2
Остаточный хлор	0.15	131	2
Запах при 60C	1	132	2
Неизвестно (5147)	1	133	2
Неизвестно (5148)	Тинистый	134	2
Общие колиформные бактерии (ОКБ)	отс.	135	2
Неизвестно (1000)	Тинистый	136	27
Неизвестно (1001)	Тинистый	137	27
Запах при 20C	1	138	27
Неизвестно (1003)	21.1	139	27
Цветность	10	140	27
Мутность	<0.30	141	27
Водородный показатель (pH)	7.2	142	27
Железо общее	<0.05	143	27
Термотолерантные колиформные бактерии (ТКБ)	отс.	144	27
Общее микробное число (ОМЧ)	отс.	145	27
Остаточный хлор	0.24	146	27
Запах при 60C	1-2	147	27
Неизвестно (5147)	1	148	27
Общие колиформные бактерии (ОКБ)	отс.	150	27
Неизвестно (1000)	Хлорно-тинистый	151	76
Неизвестно (1001)	Хлорно-тинистый	152	76
Запах при 20C	1	153	76
Неизвестно (1003)	21.8	154	76
Мутность	0.47	156	76
Водородный показатель (pH)	7.3	157	76
Железо общее	<0.05	158	76
Термотолерантные колиформные бактерии (ТКБ)	отс.	159	76
Общее микробное число (ОМЧ)	отс.	160	76
Остаточный хлор	0.52	161	76
Запах при 60C	1-2	162	76
Неизвестно (5147)	1	163	76
Неизвестно (5148)	Хлорно-тинистый	164	76
Общие колиформные бактерии (ОКБ)	отс.	165	76
Неизвестно (1000)	Хлорно-тинистый	166	40
Неизвестно (1001)	Хлорно-тинистый	167	40
Неизвестно (1003)	19.7	169	40
Цветность	11	170	40
Мутность	0.39	171	40
Водородный показатель (pH)	7.2	172	40
Железо общее	<0.05	173	40
Термотолерантные колиформные бактерии (ТКБ)	отс.	174	40
Общее микробное число (ОМЧ)	отс.	175	40
Остаточный хлор	0.40	176	40
Запах при 60C	2	177	40
Неизвестно (5147)	1	178	40
Неизвестно (5148)	Хлорно-тинистый	179	40
